property_type,society,sector,price_in_lacs,price_per_sqft_inrs,area,areaWithType,super_builtup,builtup,carpet_area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,furnish_type,servant_room,study room,pooja room,store_room,others,luxury_score
flat,ambience creacions,sector 22 ,200.0,14492.0,1380.07,Carpet area: 1380 (128.21 sq.m.),,,1380.0,2,2,2,9.0,East,Relatively New,2.0,0,0,0,0,0,115.0
flat,signature global city 63a,sector 63a ,200.0,12800.0,1562.5,Built Up area: 1540 (143.07 sq.m.),,1540.0,,3,3,2,1.0,North,Under Construction,2.0,0,0,0,0,0,106.0
flat,godrej oasis,sector 88a ,129.0,7800.0,1653.85,Super Built up area 1629(151.34 sq.m.)Carpet area: 1628 sq.ft. (151.25 sq.m.),1629.0,,1628.0,3,3,3,5.0,,New Property,0.0,0,1,0,0,1,16.0
flat,m3m skycity,sector 65 ,285.0,15590.0,1828.09,Super Built up area 1828(169.83 sq.m.),1828.0,,,3,3,3,43.0,South,Under Construction,0.0,0,0,0,0,0,68.0
flat,supertech araville,sector 79 ,110.0,5641.0,1950.01,Carpet area: 1950 (181.16 sq.m.),,,1950.0,3,3,3,1.0,,Relatively New,2.0,0,0,0,0,0,129.0
flat,smart world orchard,sector 61 ,165.0,13750.0,1200.0,Carpet area: 1200 (111.48 sq.m.),,,1200.0,2,2,2,1.0,,Under Construction,0.0,0,1,0,0,0,96.0
flat,hcbs sports ville,sohna road,24.0,7407.0,324.02,Carpet area: 324 (30.1 sq.m.),,,324.0,1,1,2,1.0,North,New Property,0.0,0,0,0,0,0,62.0
flat,emaar palm premier,sector 77 ,210.0,10500.0,2000.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),2000.0,1600.0,1500.0,3,4,3+,11.0,,New Property,1.0,1,0,0,0,0,28.0
flat,godrej nature plus,sector 33,190.0,9849.0,1929.13,Carpet area: 1929 (179.21 sq.m.),,,1929.0,3,3,3+,14.0,,New Property,0.0,1,0,0,0,0,0.0
flat,godrej aria,sector 79 ,110.0,11482.0,958.02,Super Built up area 89,89.0,,,2,2,3,9.0,,New Property,0.0,0,0,0,0,0,50.0
flat,ramsons kshitij,sector 95 ,31.5,4500.0,700.0,Super Built up area 700(65.03 sq.m.)Carpet area: 443.32 sq.ft. (41.19 sq.m.),700.0,,443.0,2,2,1,8.0,,Relatively New,0.0,0,0,0,0,1,66.0
flat,conscient one,sector 109 ,170.0,17617.0,964.98,Built Up area: 965 (89.65 sq.m.)Carpet area: 628 sq.ft. (58.34 sq.m.),,965.0,628.0,1,1,2,9.0,,Undefined,0.0,0,0,0,0,0,39.0
flat,pareena laxmi apartments,sector 99a ,32.0,6106.0,524.07,Super Built up area 524(48.68 sq.m.)Carpet area: 424.8 sq.ft. (39.47 sq.m.),524.0,,424.0,2,2,2,2.0,,New Property,0.0,0,0,0,0,0,127.0
flat,pyramid elite,sector 86 ,45.0,7739.0,581.47,Carpet area: 581.41 (54.01 sq.m.),,,581.0,2,2,1,4.0,,Under Construction,0.0,0,0,0,0,0,76.0
flat,raheja revanta,sector 78 ,120.0,10018.0,1197.84,Super Built up area 1197.8(111.28 sq.m.)Carpet area: 505 sq.ft. (46.92 sq.m.),1197.0,,505.0,1,2,2,32.0,,Under Construction,2.0,0,0,0,0,0,26.0
flat,m3m skycity,sector 65 ,210.0,16030.0,1310.04,Super Built up area 1310(121.7 sq.m.),1310.0,,,2,2,2,43.0,,New Property,0.0,0,0,0,0,0,43.0
flat,not applicable,sector 4,42.0,5600.0,750.0,Carpet area: 750 (69.68 sq.m.),,,750.0,2,2,1,3.0,,Relatively New,1.0,0,0,0,0,0,57.0
flat,godrej nature plus,sector 33,155.0,9955.0,1557.01,Carpet area: 1557 (144.65 sq.m.),,,1557.0,3,2,3+,8.0,East,New Property,0.0,0,0,0,0,0,105.0
flat,ramprastha city,dwarka expressway ,130.0,9027.0,1440.12,Super Built up area 1440(133.78 sq.m.),1440.0,,,3,3,2,3.0,,Under Construction,0.0,0,0,0,0,0,0.0
flat,smartworld 1dxp,sector 113 ,275.0,10589.0,2597.03,Carpet area: 2597 (241.27 sq.m.),,,2597.0,4,4,3+,20.0,East,Under Construction,0.0,1,1,1,0,0,49.0
flat,ansal housing highland park,sector 103 ,125.0,6443.0,1940.09,Super Built up area 1940(180.23 sq.m.)Carpet area: 1056 sq.ft. (98.11 sq.m.),1940.0,,1056.0,3,3,3+,2.0,North-East,New Property,0.0,0,0,1,0,0,0.0
flat,czar mahira homes 63a,sector 63a ,42.0,7407.0,567.03,Carpet area: 567 (52.68 sq.m.),,,567.0,3,2,2,1.0,,Undefined,0.0,0,0,0,0,0,61.0
