,property_type,society,sector,price_in_lacs,price_per_sqft_inrs,builtup,bedRoom,bathroom,balcony,floorNum,agePossession,furnish_type,servant_room,study room,pooja room,store_room,others,luxury_score,coordinates,latitude,longitude
124,flat,hsiidc sidco aravali,manesar,91.0,3516.0,1900.0,3,3,3+,8.0,Moderately Old,2.0,1,0,0,0,0,120.0,"28.3515° N, 76.9428° E",28.3515,76.9428
125,flat,the crew bos chs manesar,manesar,85.0,3695.0,2555.0,3,3,2,2.0,Moderately Old,2.0,0,0,0,0,0,128.0,"28.3515° N, 76.9428° E",28.3515,76.9428
126,flat,the close north,sector 50,275.0,12500.0,2400.0,3,3,3,3.0,Moderately Old,2.0,1,0,0,0,0,44.0,"28.4178° N, 77.0628° E",28.4178,77.0628
127,flat,the close north,sector 50,251.0,11992.0,2093.06,3,3,3,11.0,Moderately Old,2.0,0,0,1,1,0,138.0,"28.4178° N, 77.0628° E",28.4178,77.0628
128,flat,the close north,sector 50,250.0,11944.0,1894.0,3,3,3,11.0,Relatively New,0.0,0,0,1,0,0,71.0,"28.4178° N, 77.0628° E",28.4178,77.0628
129,flat,central park flower valley,sector 33,179.0,11251.0,1619.0,3,3,3,3.0,Old Property,0.0,0,0,0,0,0,134.0,"28.4420° N, 77.0207° E",28.442,77.0207
130,flat,godrej nature plus,sector 33,131.0,15982.0,84.0,2,2,2,4.0,Under Construction,2.0,0,0,0,0,0,42.0,"28.4420° N, 77.0207° E",28.442,77.0207
131,flat,godrej nature plus,sector 33,165.0,8266.0,2217.0,3,3,3,2.0,Under Construction,0.0,1,0,0,0,0,45.0,"28.4420° N, 77.0207° E",28.442,77.0207
132,flat,godrej nature plus,sector 33,140.0,15124.0,113.0,3,2,3+,20.0,New Property,0.0,0,0,0,0,0,114.0,"28.4420° N, 77.0207° E",28.442,77.0207
133,flat,central park flower valley,sector 33,215.0,13522.0,1439.0,3,3,3+,1.0,New Property,0.0,0,0,0,0,0,70.0,"28.4420° N, 77.0207° E",28.442,77.0207
134,flat,woodstock floors,sector 50,105.0,10627.0,1098.0,2,2,2,2.0,Moderately Old,0.0,0,0,0,0,0,113.0,"28.4178° N, 77.0628° E",28.4178,77.0628
135,flat,hsiidc sidco aravali,manesar,90.0,3477.0,1900.0,3,3,3,2.0,Old Property,0.0,1,0,0,0,0,37.0,"28.3515° N, 76.9428° E",28.3515,76.9428
136,flat,central park flower valley aqua front towers,sector 33,170.0,9449.0,1697.0,3,3,3+,5.0,New Property,1.0,0,0,0,0,0,149.0,"28.4420° N, 77.0207° E",28.442,77.0207
137,flat,godrej nature plus,sector 33,130.0,8349.0,1409.0,3,2,3+,18.0,New Property,0.0,0,0,0,0,0,95.0,"28.4420° N, 77.0207° E",28.442,77.0207
138,flat,dlf icon,sector 43,580.0,20707.0,2801.0,4,4,3+,18.0,Moderately Old,1.0,0,0,0,0,0,38.0,"28.4629° N, 77.0772° E",28.4629,77.0772
139,flat,godrej nature plus,sector 33,135.0,8670.0,1409.0,3,2,3+,17.0,New Property,0.0,0,0,0,0,0,49.0,"28.4420° N, 77.0207° E",28.442,77.0207
140,flat,godrej nature plus,sector 33,120.0,14379.0,86.0,2,2,3,1.0,New Property,0.0,0,0,0,0,0,92.0,"28.4420° N, 77.0207° E",28.442,77.0207
141,flat,sahara grace,sector 28,430.0,12420.0,3133.0,3,4,3,5.0,Old Property,0.0,1,0,0,1,0,0.0,"28.4728° N, 77.0865° E",28.4728,77.0865
142,flat,central park flower valley aqua front towers,sector 33,296.0,13870.0,2371.0,4,4,3,1.0,New Property,0.0,1,0,0,0,0,0.0,"28.4420° N, 77.0207° E",28.442,77.0207
143,flat,godrej nature plus,sector 33,170.0,12592.0,1500.0,3,3,3+,6.0,New Property,0.0,1,0,0,0,0,24.0,"28.4420° N, 77.0207° E",28.442,77.0207
144,flat,dlf express greens,manesar,160.0,6808.0,2611.0,4,6,3+,4.0,Relatively New,2.0,1,1,1,0,0,49.0,"28.3515° N, 76.9428° E",28.3515,76.9428
145,flat,suncity vatsal valley,gwal pahari,100.0,13340.0,833.0,2,2,2,3.0,New Property,0.0,0,0,0,0,0,31.0,"28.4484° N, 77.0210° E",28.4484,77.021
146,flat,dlf beverly park,sector 25,800.0,15384.0,5777.0,5,5,3+,2.0,Old Property,0.0,1,1,1,0,1,45.0,"28.4844° N, 77.0860° E",28.4844,77.086
147,flat,surya vihar rwa,sector 21,130.0,6500.0,2400.0,5,5,2,2.0,Old Property,0.0,1,1,0,1,0,37.0,"28.5134° N, 77.0723° E",28.5134,77.0723
148,flat,dlf the grove,sector 43,600.0,25000.0,2666.0,4,4,2,1.0,Under Construction,2.0,1,0,0,0,0,26.0,"28.4629° N, 77.0772° E",28.4629,77.0772
149,flat,suncity vatsal valley,gwal pahari,153.0,10699.0,1589.0,3,3,3,2.0,New Property,1.0,0,0,0,0,0,123.0,"28.4484° N, 77.0210° E",28.4484,77.021
150,flat,"new colony, gurgaon",sector 7,80.0,8100.0,1100.0,3,2,1,4.0,Relatively New,0.0,0,0,0,0,0,0.0,"28.4644° N, 77.0143° E",28.4644,77.0143
151,flat,central park flower valley,sector 33,135.0,10384.0,1444.0,3,2,2,3.0,New Property,0.0,0,0,0,0,0,15.0,"28.4420° N, 77.0207° E",28.442,77.0207
