property_name,property_type,society,sector,price_in_lacs,price_per_sqft_inrs,area,areaWithType,super_builtup,builtup,carpet_area,bedRoom,bathroom,balcony,address,floorNum,facing,agePossession,description,furnish_type,rating,servant_room,study room,pooja room,store_room,others,luxury_score
4 BHK Flat in Sector 43 Gurgaon,flat,bhawna cghs,sector 43 ,325.0,10156.0,3200.08,Super Built up area 3200(297.29 sq.m.)Carpet area: 3000 sq.ft. (278.71 sq.m.),3200,,3000,4,4,3+,"Sector 43 Gurgaon, Gurgaon, Haryana",12.0,,Moderately Old,"4 bhk + pooja room- Huge spacious rooms and hall, open kitchen, panaromic balcony with a magnificent view of the golf course road.Walking distance from one horizon center, two horizon center, baani square, galleria, vyapar kendra, ecoforest trailIn the vicinity, walking distance from the best schools in gurgaon- Heritage xperiential school, ambience public school, excelsior american schoolLocation wise you cannot find a better deal in all of gurgaon!It is a huge property, centrally located.",2.0,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5']",0,0,1,0,0,119.0
2 BHK Flat in Sector 88A Gurgaon,flat,adani aangan arcade,sector 88a ,45.0,7194.0,625.52,Carpet area: 625.47 (58.11 sq.m.),,,625,2,2,1,"Tower A-4, Flat No. 804, Sector 88A Gurgaon, Gurgaon, Haryana",8.0,,New Property,"This is 2bhk flat at 8th floor of tower a-4. 
5min drive from dwarka expressway. 15 min drive from nh8",0.0,,0,0,0,0,0,14.0
3 BHK Flat in Sector 92 Gurgaon,flat,sare green parc,sector 92 ,85.0,6538.0,1300.09,Built Up area: 1300 (120.77 sq.m.),,1300,,3,2,2,"Sector 92, Sector 92 Gurgaon, Gurgaon, Haryana",20.0,,Undefined,Best in class property available at sector 92 location in gurgaon,0.0,"['Environment5 out of 5', 'Safety3 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",0,0,0,0,0,0.0
2 BHK Flat in Sector 90 Gurgaon,flat,shree vardhman flora,sector 90 ,75.0,5769.0,1300.05,Carpet area: 1300 (120.77 sq.m.),,,1300,2,2,3,"Sector 90, Sector 90 Gurgaon, Gurgaon, Haryana",8.0,North-East,Undefined,Best in class property available at sector 90 location in gurgaon,0.0,"['Green Area5 out of 5', 'Amenities5 out of 5', 'Management4 out of 5', 'Construction5 out of 5', 'Connectivity5 out of 5']",0,0,0,0,0,60.0
2 BHK Flat in Sector 68 Gurgaon,flat,supertech hues,sector 68 ,82.0,6950.0,1179.86,Super Built up area 1180(109.63 sq.m.),1180,,,2,2,3+,"Sector-68 Gurgaon, Sector 68 Gurgaon, Gurgaon, Haryana",21.0,,Under Construction,"Residential apartment for sell.The property comes with a good construction quality which ages,apr, 2019,,  located in sector-68 gurgaon.It is a unfurnished property.The property has 2 bedrooms, with 2 bathrooms .Available at an expected price of 82 lac.Located on 21st  of the 24 floors .It is a freehold property.  It is positioned in a gated society.",0.0,"['Environment4 out of 5', 'Safety5 out of 5', 'Lifestyle4 out of 5', 'Connectivity3 out of 5']",0,0,0,0,1,72.0
3 BHK Flat in Sector 109 Gurgaon,flat,chintels paradiso,sector 109 ,180.0,8866.0,2030.23,Super Built up area 2030(188.59 sq.m.)Carpet area: 1785 sq.ft. (165.83 sq.m.),2030,,1785,3,3,2,"Sector 109 Gurgaon, Gurgaon, Haryana",0.0,East,Moderately Old,"Greenery both sides of balconies 
One side children play area 
Other side trapezium shape green area
One can easily njoy refreshing air
East facing to have good sunshine on front side
Free parking and basketball facing the house
Excellent for sr citizen with grand children",0.0,"['Green Area5 out of 5', 'Amenities5 out of 5', 'Management4 out of 5', 'Construction4 out of 5', 'Connectivity5 out of 5']",1,0,0,0,0,83.0
2 BHK Flat in Sohna,flat,breez global hill view,sohna road,29.99,5403.0,555.06,Super Built up area 655(60.85 sq.m.)Carpet area: 555 sq.ft. (51.56 sq.m.),655,,555,2,2,2,"T 3, Sohna, Gurgaon, Haryana",6.0,North-East,New Property,"Low density project already 300 family residing in the society both side open with aravalli hill view , 24 * 7 security , gated society , shopping complex inside the society with community center , crutch, school ,hospital, petrol pump, near by the society road head society on national highway delhi mumbai expressway ,",0.0,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5']",0,0,0,0,0,109.0
2 BHK Flat in Sector 37C Gurgaon,flat,ild greens,sector 37c ,78.0,5714.0,1365.07,Super Built up area 1365(126.81 sq.m.)Built Up area: 1068.1 sq.ft. (99.23 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),1365,1068,900,2,2,3,"101, Tower-7, Sector 37C Gurgaon, Gurgaon, Haryana",1.0,North,Moderately Old,"Rooms are well ventilated and airy, good open space, good sunlight
Located in first floor and on main sector rode.",2.0,"['Green Area5 out of 5', 'Amenities4.5 out of 5', 'Management4.5 out of 5', 'Construction5 out of 5', 'Connectivity4.5 out of 5']",0,0,0,0,0,103.0
3 BHK Flat in Sector 43 Gurgaon,flat,ansal sushant lok ci,sector 43 ,200.0,15151.0,1320.04,Carpet area: 1320 (122.63 sq.m.),,,1320,3,3,2,"C 488,1 St Floor, Sector 43 Gurgaon, Gurgaon, Haryana",1.0,North,Old Property,"Its huge inside,the bebrooms are quote spacious with attach bathrooms and we have renovated frm inside very well.Its near to market",1.0,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5']",1,0,0,0,0,15.0
2 BHK Flat in Sohna,flat,ashiana mulberry,sohna road,74.0,6200.0,1193.55,Carpet area: 1210 (112.41 sq.m.),,,1210,2,2,3+,"Sohna, Gurgaon, Haryana",12.0,North-West,New Property,Available with fully furnished kitchen and master bedroom wooden flooring,0.0,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5']",0,0,0,0,0,67.0
