property_type,society,sector,price_in_lacs,price_per_sqft_inrs,builtup,bedRoom,bathroom,balcony,floorNum,agePossession,furnish_type,servant_room,study room,pooja room,store_room,others,luxury_score
flat,supertech hues,sector 68 ,93.0,8611.0,1200.0,2,2,2,11.0,New Property,0.0,0,0,0,0,0,49.0
flat,dlf new town heights,sector 90 ,180.0,6600.0,2468.0,4,4,3+,23.0,Moderately Old,0.0,0,0,0,0,0,36.0
flat,central park flower valley aqua front towers,sector 33,210.0,11738.0,1619.0,3,3,2,6.0,Under Construction,0.0,0,0,0,0,0,65.0
flat,ambience creacions,sector 22 ,200.0,14492.0,1533.0,2,2,2,9.0,Relatively New,2.0,0,0,0,0,0,115.0
flat,signature global city 63a,sector 63a ,200.0,12800.0,1540.0,3,3,2,1.0,Under Construction,2.0,0,0,0,0,0,106.0
flat,godrej oasis,sector 88a ,129.0,7800.0,1641.0,3,3,3,5.0,New Property,0.0,0,1,0,0,1,16.0
flat,m3m skycity,sector 65 ,285.0,15590.0,1828.09,3,3,3,43.0,Under Construction,0.0,0,0,0,0,0,68.0
flat,supertech araville,sector 79 ,110.0,5641.0,2166.0,3,3,3,1.0,Relatively New,2.0,0,0,0,0,0,129.0
flat,smart world orchard,sector 61 ,165.0,13750.0,1333.0,2,2,2,1.0,Under Construction,0.0,0,1,0,0,0,96.0
flat,hcbs sports ville,sohna road,24.0,7407.0,360.0,1,1,2,1.0,New Property,0.0,0,0,0,0,0,62.0
flat,emaar palm premier,sector 77 ,210.0,10500.0,1600.0,3,4,3+,11.0,New Property,1.0,1,0,0,0,0,28.0
flat,godrej nature plus,sector 33,190.0,9849.0,2143.0,3,3,3+,14.0,New Property,0.0,1,0,0,0,0,0.0
flat,godrej aria,sector 79 ,110.0,11482.0,81.0,2,2,3,9.0,New Property,0.0,0,0,0,0,0,50.0
flat,ramsons kshitij,sector 95 ,31.5,4500.0,563.0,2,2,1,8.0,Relatively New,0.0,0,0,0,0,1,66.0
flat,conscient one,sector 109 ,170.0,17617.0,965.0,1,1,2,9.0,Relatively New,0.0,0,0,0,0,0,39.0
flat,pareena laxmi apartments,sector 99a ,32.0,6106.0,473.0,2,2,2,2.0,New Property,0.0,0,0,0,0,0,127.0
flat,pyramid elite,sector 86 ,45.0,7739.0,645.0,2,2,1,4.0,Under Construction,0.0,0,0,0,0,0,76.0
flat,raheja revanta,sector 78 ,120.0,10018.0,822.0,1,2,2,32.0,Under Construction,2.0,0,0,0,0,0,26.0
flat,m3m skycity,sector 65 ,210.0,16030.0,1186.0,2,2,2,43.0,New Property,0.0,0,0,0,0,0,43.0
flat,not applicable,sector 4,42.0,5600.0,833.0,2,2,1,3.0,Relatively New,1.0,0,0,0,0,0,57.0
flat,godrej nature plus,sector 33,155.0,9955.0,1730.0,3,2,3+,8.0,New Property,0.0,0,0,0,0,0,105.0
flat,ramprastha city,dwarka expressway ,130.0,9027.0,1303.0,3,3,2,3.0,Under Construction,0.0,0,0,0,0,0,0.0
flat,smartworld 1dxp,sector 113 ,275.0,10589.0,2885.0,4,4,3+,20.0,Under Construction,0.0,1,1,1,0,0,49.0
flat,ansal housing highland park,sector 103 ,125.0,6443.0,1465.0,3,3,3+,2.0,New Property,0.0,0,0,1,0,0,0.0
flat,czar mahira homes 63a,sector 63a ,42.0,7407.0,630.0,3,2,2,1.0,Under Construction,0.0,0,0,0,0,0,61.0
flat,breez global heights,sohna road,40.0,6420.0,615.0,2,2,1,4.0,New Property,2.0,0,0,0,0,0,97.0
flat,trisara our homes 3,sohna road,34.0,5405.0,699.0,2,2,1,0.0,New Property,0.0,0,0,0,0,0,0.0
flat,m3m soulitude,sector 89 ,125.0,8784.0,1288.0,3,3,3,3.0,New Property,0.0,0,1,0,0,1,0.0
flat,emaar mgf palm hills,sector 77 ,150.0,12744.0,1310.0,3,3,3,4.0,Relatively New,0.0,0,0,0,0,0,71.0
flat,ramprastha city,dwarka expressway ,130.0,9285.0,1267.0,3,3,2,3.0,Under Construction,0.0,0,0,0,0,0,60.0
